@relation QueryResult

@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute WeekDay numeric
@attribute Price numeric

@data
2015,9,10,3,2.39065
2015,9,11,4,2.42565
2015,9,14,0,2.5069
2015,9,15,1,2.4744
2015,9,16,2,2.4444
2015,9,17,3,2.4044
2015,9,18,4,2.43315
2015,9,21,0,2.48315
2015,9,22,1,2.4769
2015,9,23,2,2.53815
2015,9,24,3,2.48565
2015,9,25,4,2.54065
2015,9,28,0,2.53065
2015,9,29,1,2.5194
2015,9,30,2,2.56125
2015,10,1,3,2.59
2015,10,2,4,2.56315
2015,10,5,0,2.5794
2015,10,6,1,2.6294
2015,10,7,2,2.58315
2015,10,8,3,2.55565
2015,10,9,4,2.54065
2015,10,12,0,2.5344
2015,10,13,1,2.5944
2015,10,14,2,2.5419
2015,10,15,3,2.51065
2015,10,16,4,2.4619
2015,10,19,0,2.4269
2015,10,20,1,2.45315
2015,10,21,2,2.47315
2015,10,22,3,2.4544
2015,10,23,4,2.45315
2015,10,26,0,2.5469
2015,10,27,1,2.54565
2015,10,28,2,2.5294
2015,10,29,3,2.5769
2015,10,30,4,2.61065
2015,11,2,0,2.5394
2015,11,3,1,2.5819
2015,11,4,2,2.6319
2015,11,5,3,2.6294
2015,11,6,4,2.6144
2015,11,9,0,2.50815
2015,11,10,1,2.4569
2015,11,11,2,2.47565
2015,11,12,3,2.48815
2015,11,13,4,2.48065
2015,11,16,0,2.4694
2015,11,17,1,2.43875
2015,11,18,2,2.4169
2015,11,19,3,2.4519
2015,11,20,4,2.44565
2015,11,23,0,2.4869
2015,11,24,1,2.44065
2015,11,25,2,2.43815
2015,11,27,4,2.395
2015,11,30,0,2.37815
2015,12,1,1,2.3569
2015,12,2,2,2.33565
2015,12,3,3,2.3919
2015,12,4,4,2.42315
2015,12,7,0,2.4144
2015,12,8,1,2.4069
2015,12,9,2,2.44815
2015,12,10,3,2.4769
2015,12,11,4,2.4519
2015,12,14,0,2.4669
2015,12,15,1,2.4694
2015,12,16,2,2.4169
2015,12,17,3,2.4194
2015,12,18,4,2.43065
2015,12,21,0,2.39565
2015,12,22,1,2.35815
2015,12,23,2,2.34815
2015,12,24,3,2.34
2015,12,27,6,2.34
2015,12,28,0,2.33315
2015,12,29,1,2.3794
2015,12,30,2,2.34815
2015,12,31,3,2.3469
2016,1,4,0,2.2919
2016,1,5,1,2.3069
2016,1,6,2,2.31315
2016,1,7,3,2.3419
2016,1,8,4,2.3919
2016,1,11,0,2.34565
2016,1,12,1,2.4069
2016,1,13,2,2.3894
2016,1,14,3,2.3444
2016,1,15,4,2.3669
2016,1,17,6,2.3669
2016,1,19,1,2.3719
2016,1,20,2,2.35815
2016,1,21,3,2.3769
2016,1,22,4,2.3769
2016,1,25,0,2.40565
2016,1,26,1,2.42565
2016,1,27,2,2.3819
2016,1,28,3,2.36065
2016,1,29,4,2.3969
2016,2,1,0,2.37815
2016,2,2,1,2.3769
2016,2,3,2,2.3994
2016,2,4,3,2.36315
2016,2,5,4,2.33315
2016,2,8,0,2.2919
2016,2,9,1,2.2869
2016,2,10,2,2.30565
2016,2,11,3,2.2919
2016,2,12,4,2.2869
2016,2,16,1,2.3219
2016,2,17,2,2.3444
2016,2,18,3,2.3119
2016,2,19,4,2.3094
2016,2,22,0,2.3194
2016,2,23,1,2.2794
2016,2,24,2,2.2569
2016,2,25,3,2.2656
2016,2,26,4,2.2606
2016,2,29,0,2.2644
2016,3,1,1,2.2306
2016,3,2,2,2.2506
2016,3,3,3,2.2956
2016,3,4,4,2.3069
2016,3,7,0,2.31565
2016,3,8,1,2.32565
2016,3,9,2,2.3406
2016,3,10,3,2.3819
2016,3,11,4,2.3794
2016,3,14,0,2.3931
2016,3,15,1,2.3856
2016,3,16,2,2.3531
2016,3,17,3,2.3119
2016,3,18,4,2.3169
2016,3,21,0,2.3319
2016,3,22,1,2.3369
2016,3,23,2,2.3169
2016,3,24,3,2.3175
2016,3,28,0,2.36
2016,3,29,1,2.385
2016,3,30,2,2.32125
2016,3,31,3,2.3725
2016,4,1,4,2.3775
2016,4,4,0,2.3725
2016,4,5,1,2.3675
2016,4,6,2,2.31625
2016,4,7,3,2.28625
2016,4,8,4,2.3075
2016,4,11,0,2.235
2016,4,12,1,2.2675
2016,4,13,2,2.32125
2016,4,14,3,2.2925
2016,4,15,4,2.30125
2016,4,18,0,2.3625
2016,4,19,1,2.4275
2016,4,20,2,2.515
2016,4,21,3,2.4794
2016,4,22,4,2.33625
2016,4,25,0,2.38375
2016,4,26,1,2.44125
2016,4,27,2,2.41375
2016,4,28,3,2.42875
2016,4,29,4,2.44625
2016,5,2,0,2.4356
2016,5,3,1,2.36
2016,5,4,2,2.365
2016,5,5,3,2.31875
2016,5,6,4,2.3225
2016,5,9,0,2.28125
2016,5,10,1,2.31125
2016,5,11,2,2.295
2016,5,12,3,2.34
2016,5,13,4,2.37375
2016,5,16,0,2.37875
2016,5,17,1,2.4075
2016,5,18,2,2.405
2016,5,19,3,2.34625
2016,5,20,4,2.34125
2016,5,23,0,2.3125
2016,5,24,1,2.3225
2016,5,25,2,2.33125
2016,5,26,3,2.40375
2016,5,27,4,2.4075
2016,5,31,1,2.31875
2016,6,1,2,2.3675
2016,6,2,3,2.4275
2016,6,3,4,2.48875
2016,6,6,0,2.53875
2016,6,7,1,2.5475
2016,6,8,2,2.6
2016,6,9,3,2.54875
2016,6,10,4,2.475
2016,6,13,0,2.46
2016,6,14,1,2.42375
2016,6,15,2,2.3925
2016,6,16,3,2.3625
2016,6,17,4,2.4075
2016,6,20,0,2.36875
2016,6,21,1,2.2906
2016,6,22,2,2.29375
2016,6,23,3,2.27
2016,6,24,4,2.26625
2016,6,27,0,2.29625
2016,6,28,1,2.29125
2016,6,29,2,2.22125
2016,6,30,3,2.24
2016,7,1,4,2.1531
2016,7,5,1,2.1575
2016,7,6,2,2.1475
2016,7,7,3,2.1281
2016,7,8,4,2.1775
2016,7,11,0,2.15375
2016,7,12,1,2.1875
2016,7,13,2,2.205
2016,7,14,3,2.16875
2016,7,15,4,2.1275
2016,7,18,0,2.15125
2016,7,19,1,2.0925
2016,7,20,2,2.06375
2016,7,21,3,2.09125
2016,7,22,4,2.1306
2016,7,25,0,2.1475
2016,7,26,1,2.0744
2016,7,27,2,2.075
2016,7,28,3,2.0456
2016,7,29,4,2.03625
2016,8,1,0,2.03375
2016,8,2,1,2.00375
2016,8,3,2,2.05
2016,8,4,3,2.02125
2016,8,5,4,2.0769
2016,8,8,0,2.085
2016,8,9,1,2.0825
2016,8,10,2,2.1056
2016,8,11,3,2.08
2016,8,12,4,2.1131
2016,8,15,0,2.1131
2016,8,16,1,2.1175
2016,8,17,2,2.13125
2016,8,18,3,2.13625
2016,8,19,4,2.1375
2016,8,22,0,2.07625
2016,8,23,1,2.0375
2016,8,24,2,2.0225
2016,8,25,3,2.0069
2016,8,26,4,1.9206
2016,8,29,0,1.98625
2016,8,30,1,1.9625
2016,8,31,2,1.9375
2016,9,1,3,1.9731
2016,9,2,4,1.995
2016,9,6,1,1.99
2016,9,7,2,2.0125
2016,9,8,3,2.03
2016,9,9,4,2.015
2016,9,12,0,2.04375
2016,9,13,1,2
2016,9,14,2,2.01125
2016,9,15,3,1.9975
2016,9,16,4,2.0194
2016,9,19,0,2.02
2016,9,20,1,2.02875
2016,9,21,2,2.04125
2016,9,22,3,2.02875
2016,9,23,4,2.02625
2016,9,26,0,1.98
2016,9,27,1,2.02125
2016,9,28,2,2.0169
2016,9,29,3,1.995
2016,9,30,4,2.00875
2016,10,3,0,1.98375
2016,10,4,1,1.97875
2016,10,5,2,2.0275
2016,10,6,3,1.97625
2016,10,7,4,1.975
2016,10,10,0,2.02125
2016,10,11,1,2.03625
2016,10,12,2,1.9875
2016,10,13,3,2.0825
2016,10,14,4,2.10375
2016,10,17,0,2.12125
2016,10,18,1,2.0975
